 

                          Linear Probing Analysis (Table size = 13)
                --- Inserts ---   ------- Probes -------    ----- Clusters ------
    N   lambda  success  failed     total    avg    max     number   avg     max
    1     0.08        1       0	        1    1.00     1          1   1.00      1
    2     0.15        2       0	        2    1.00     1          2   1.00      1
    3     0.23        3       0	        3    1.00     1          2   1.50      2
    4     0.31        4       0	        6    1.50     3          2   2.00      3
    5     0.38        5       0	        7    1.40     3          3   1.67      3
    6     0.46        6       0	       12    2.00     5          3   2.00      3
    7     0.54        7       0	       14    2.00     5          2   3.50      5
    8     0.62        8       0	       15    1.88     5          3   2.67      5
    9     0.69        9       0	       17    1.89     5          3   3.00      5
   10     0.77       10       0	       24    2.40     7          2   5.00      5
   11     0.85       11       0	       32    2.91     8          2   5.50      6
   12     0.92       12       0	       40    3.33     8          2   6.00      7
   13     1.00       13       0	       53    4.08    13          1   13.00     13
   14     1.00       13       1	       67    4.79    14          1   13.00     13
   15     1.00       13       2	       81    5.40    14          1   13.00     13
   16     1.00       13       3	       89    5.56    14          1   13.00     13
   17     1.00       13       4	      102    6.00    14          1   13.00     13
   18     1.00       13       5	      116    6.44    14          1   13.00     13
   19     1.00       13       6	      130    6.84    14          1   13.00     13

                          Quadratic Probing Analysis (Table size = 13)
                --- Inserts ---   ------- Probes -------    ----- Clusters ------
    N   lambda  success  failed     total    avg    max     number   avg     max
    1     0.08        1       0	        1    1.00     1          1   1.00      1
    2     0.15        2       0	        2    1.00     1          2   1.00      1
    3     0.23        3       0	        3    1.00     1          2   1.50      2
    4     0.31        4       0	        6    1.50     3          2   2.00      2
    5     0.38        5       0	        7    1.40     3          3   1.67      2
    6     0.46        6       0	       11    1.83     4          4   1.50      2
    7     0.54        7       0	       13    1.86     4          3   2.33      4
    8     0.62        8       0	       14    1.75     4          4   2.00      4
    9     0.69        9       0	       16    1.78     4          4   2.25      4
   10     0.77       10       0	       20    2.00     4          3   3.33      4
   11     0.85       11       0	       22    2.00     4          3   3.67      5
   12     0.92       12       0	       30    2.50     8          3   3.67      5
   13     1.00       13       0	       38    2.92     8          3   3.67      5
   14     1.08       14       0	       46    3.29     8          3   3.67      5
   15     1.15       15       0	       49    3.27     8          2   6.00     10
   16     1.15       15       1	       57    3.56     8          2   6.00     10
   17     1.15       15       2	       65    3.82     8          2   6.00     10
   18     1.15       15       3	       73    4.06     8          2   6.00     10
   19     1.15       15       4	       81    4.26     8          2   6.00     10

                          Double Probing Analysis (Table size = 13)
                --- Inserts ---   ------- Probes -------    ----- Clusters ------
    N   lambda  success  failed     total    avg    max     number   avg     max
    1     0.08        1       0	        1    1.00     1          1   1.00      1
    2     0.15        2       0	        2    1.00     1          2   1.00      1
    3     0.23        3       0	        3    1.00     1          2   1.50      2
    4     0.31        4       0	        5    1.25     2          3   1.33      2
    5     0.38        5       0	        6    1.20     2          4   1.25      2
    6     0.46        6       0	        8    1.33     2          4   1.50      3
    7     0.54        7       0	       11    1.57     3          4   1.75      3
    8     0.62        8       0	       14    1.75     3          5   1.60      3
    9     0.69        9       0	       16    1.78     3          4   2.25      3
   10     0.77       10       0	       17    1.70     3          3   3.33      7
   11     0.85       11       0	       19    1.73     3          3   3.67      8
   12     0.92       12       0	       27    2.25     8          2   6.00     11
   13     1.00       13       0	       39    3.00    12          1   13.00     13
   14     1.00       13       1	       53    3.79    14          1   13.00     13
   15     1.00       13       2	       67    4.47    14          1   13.00     13
   16     1.00       13       3	       75    4.69    14          1   13.00     13
   17     1.00       13       4	       87    5.12    14          1   13.00     13
   18     1.00       13       5	      101    5.61    14          1   13.00     13
   19     1.00       13       6	      115    6.05    14          1   13.00     13
